지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
108,서울,2021-05-01,10.2,8.5,2326,15.3,1256,11.67,1.5,1424,5.3,1419,8,10.3,290,1418,6.3,320,1425,2.7,2360,270,6.8,47,1258,80.8,9.9,995.6,1010.3,2346,1003.6,556,1005.8,13.8,1.2,1200,2.81,11.89,,,,,,9.4,5.9,12.4,7.4,14.5,14,14.1,14.5,14.8,14.4,13.7,12.5,13.4,1.8,2.6,9.4,{박무}0320-{박무}{강도0}0600-0745. {비}0425-0550. {비}0645-0825. {비}0925-1020. {비}1320-{비}{강도1}1500-{비}{강도0}1800-1810. {박무}1425-{박무}{강도0}1500-1550. {비}2110-{비}{강도0}2400-,
108,서울,2021-05-02,12.4,7.3,602,18.7,1436,2.5,.4,110,1.2,24,1.7,9.3,290,1720,5.3,270,1740,3.1,2720,270,6,41,1731,67.9,9.4,1006.2,1019.9,2345,1010.3,1,1016.5,13.8,10.8,1200,3.56,27.71,,,,,,2.6,2,16.8,5.4,15.2,14.4,14.1,14.3,14.4,14.4,13.7,12.6,13.4,4.5,6.4,,-{비}-0230.,
108,서울,2021-05-03,14.1,8.4,555,20.3,1520,,,,,,,8.6,270,1559,4.9,200,1348,2.1,1847,200,4.6,27,1613,56.4,8.5,1007.6,1020.4,814,1015.1,1815,1017.8,13.8,11.6,1200,3.55,27.7,,,,,,3.8,0,17.3,4,16.5,15.6,15.2,15,14.8,14.3,13.8,12.6,13.4,4.9,7,.2,,
108,서울,2021-05-04,13.8,11.4,300,15.8,1915,16.25,1.5,1446,5.1,1436,19.6,9.3,290,2346,4.8,290,2149,2.1,1796,50,10.7,53,3,82.6,13.2,999.3,1017.3,9,1003.7,2214,1009.5,13.9,0,1200,.87,3.68,,,,,,9.6,6.6,13.5,7.8,15.5,15,15.1,15.3,15.3,14.4,13.8,12.7,13.4,1,1.4,19.5,{비}0630-{비}{강도0}0900-1040. {비}1155-{비}{강도0}1200-{비}{강도1}1500-{비}{강도0}1800-{비}{강도1}2100-{비}{강도0}2400- {박무}1440-{박무}{강도1}1500-{박무}{강도1}1800-{시정(미만)}{1km}{안개}2010-{안개}{강도0}2100-{시정(이상)}{1km}{박무}2132-{박무}{강도0}2400-,1.37
108,서울,2021-05-05,13.9,10.3,620,18.4,1509,.5,.1,,.4,-2331,.1,13.1,270,1417,6.7,250,1544,3.5,3003,250,6.4,29,1634,64.4,9.8,1002.3,1018.4,2346,1004.5,20,1012.5,13.9,11.5,1200,3.62,28.34,,,,,,2.6,2.3,17.6,4.4,16.9,16,15.5,15.3,15,14.4,13.9,12.7,13.4,4.7,6.7,,-{박무}-0020. -{비}-0030.,
108,서울,2021-05-06,15.7,7.9,538,23.1,1420,,,,,,,11.8,230,1612,6.5,230,1620,2.4,2081,50,3.3,27,1743,46.4,7.8,1005.1,1018.6,612,1011.5,2359,1015.3,13.9,10.6,1200,3.32,23.81,,,,,,4.8,.6,16.8,2.9,16.7,15.9,15.6,15.6,15.4,14.5,14,12.8,13.4,4.9,7,,{햇무리}0950-1140.,
108,서울,2021-05-07,14.4,10.7,2357,17.2,1505,1.5,5.9,942,8.8,915,8.8,12.6,200,1418,6.7,230,1352,3.4,2923,230,6.5,38,1,60.3,9.8,996,1011.5,1,1003.3,904,1006.1,13.9,5.9,1200,3.34,17.12,,,,,,3.1,3.1,15.5,7.7,16.7,16,15.7,15.8,15.6,14.6,14,12.8,13.4,3.1,4.5,8.8,{비}0915-1045. {박무}0930-1020. {황사}1140-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도1}2400- {박무}2350-{박무}{강도2}2400-,
108,서울,2021-05-08,14.3,8.9,547,21,1437,,,,,,,15.4,180,1600,8.4,200,1557,3.4,2913,250,7.5,36,1509,66.1,10.4,994.4,1008.4,18,999.2,1611,1004.4,14,8.9,1200,3.26,23.01,,,,,,1.1,.6,16.9,5.4,16.7,15.9,15.6,15.6,15.5,14.7,14.1,12.9,13.4,4.4,6.3,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0820. -{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}2100-{황사}{강도0}2400- {박무}2020-{박무}{강도0}2100-2335.,
108,서울,2021-05-09,15.7,10,513,21.8,1551,,,,,,,14.3,270,1357,7.9,270,1037,3.5,3019,270,4.6,25,1609,51.3,8.5,999.3,1011.8,2318,1006.5,1,1009.4,14,13,1200,3.72,30.44,,,,,,.3,0,18.2,5.2,17.1,16.3,16,15.9,15.7,14.7,14.2,12.9,13.4,6.2,8.9,0,-{황사}-0130.,
108,서울,2021-05-10,13.2,11.7,230,14.6,1716,3.08,0,,0,,0,6.7,200,507,4,200,513,1.8,1547,50,7.4,59,12,67.9,10.3,1003.2,1015,845,1010.4,219,1013.4,14,0,1500,.61,4.69,,,,,,8.6,6.9,13.5,4.7,15.7,15.3,15.5,15.9,16,14.8,14.2,13,13.4,1.5,2.2,0,{비}0505-{비}{강도0}0600-0720. {비}1050-1140.,
108,서울,2021-05-11,18.5,9.4,414,25.7,1514,,,,,,,10.5,140,2150,5,110,1704,2.7,2362,110,6.2,28,1337,48.9,9.5,1003.1,1014.9,147,1010.8,1615,1013.1,14.1,13.2,1200,3.44,27.17,,,,,,6,.1,18.7,4.6,17.1,16.2,15.5,15.4,15.3,14.9,14.3,13,13.4,6.6,9.5,,,
108,서울,2021-05-12,22,16.9,529,27.7,1626,,,,,,,6.9,50,819,3.7,50,824,2.2,1860,70,7.1,26,1255,39.5,10.3,1001.9,1013.8,632,1008.9,1715,1011.8,14.1,11,1200,3.52,26.51,,,,,,4.5,2.5,21.7,11.6,19.9,18.7,17.8,17,16.1,14.9,14.4,13.1,13.4,5.9,8.5,,{채운}0855-1030. {채운}1150-1345. {채운}1450-1510.,
108,서울,2021-05-13,22.9,16.6,542,29.6,1459,,,,,,,7.2,200,1556,4.2,250,1807,1.9,1642,250,12.7,36,1418,54.4,14.8,1001.1,1012.6,813,1009,1701,1011,14.1,12.8,1200,3.39,27.3,,,,,,0,0,24.6,11,21.6,20.5,19.5,18.5,17.1,15,14.4,13.1,13.4,5.3,7.6,,,
108,서울,2021-05-14,24.1,18,558,30.8,1541,,,,,,,7.4,250,1806,4.3,250,1811,1.7,1497,50,15.4,35,1552,60.3,17.5,1000.7,1013.2,757,1008.5,1743,1010.5,14.2,10.8,1200,3.43,24.38,,,,,,7.1,.8,25.2,12.1,22.9,21.8,20.8,19.7,18.1,15.4,14.5,13.1,13.4,5.2,7.4,0,{햇무리}1150-1230. {채운}1255-1330. {햇무리}1450-1520. {연무}2350-{연무}{강도0}2400-,
108,서울,2021-05-15,22.1,20.8,1911,26.2,1204,14,2.2,1338,5.8,1302,15,6.1,110,1110,3.6,110,1048,1.7,1432,50,18,56,1148,79.5,20.8,996.4,1009.3,241,1003.9,1810,1006.2,14.2,.5,1100,2.29,9.42,,,,,,9.8,5.6,22.9,17.7,22.7,21.9,21.3,20.5,19,15.7,14.6,13.2,13.4,1.6,2.3,33.1,{비}0255-{비}{강도0}0300-0550. -{연무}-{연무}{강도0}0300-0325. {박무}0320-{박무}{강도0}0600-0750. {연무}0945-1030. {비}1255-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1320-{박무}{강도0}1500-{박무}{강도1}1800-{박무}{강도0}2100-{박무}{강도2}2400-,
108,서울,2021-05-16,18.4,14.8,2345,20.8,1,24,2.6,1912,11.3,1853,66.9,8.9,50,1730,4.4,180,724,2.5,2164,50,17.9,94,1331,97.6,20.7,991.1,1004.3,1,999,1627,1001,14.2,0,1300,.53,3.05,,,,,,10,8.1,19.6,14.1,21,20.5,20.3,20.2,19.2,16.2,14.8,13.2,13.4,.7,1,49.1,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도1}0900-{비}{강도1}1200-{비}{강도0}1500-{비}{강도1}1800-{비}{강도0}2100-{비}{강도0}2400- -{박무}-{박무}{강도0}0300-0510. {박무}0625-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도1}1500-{박무}{강도1}1800-{박무}{강도0}2100-2155.,
108,서울,2021-05-17,15.3,14.2,442,16.7,1815,13.83,.4,1118,1.7,1115,3.1,5.3,50,2,3.1,50,2,1.6,1362,50,14.1,86,1919,93,16.1,997,1010.5,2335,1002.7,12,1007,14.3,0,1000,.6,5.21,,,,,,9,6.6,17.4,10.9,18.9,18.4,18.6,18.9,19.1,17.1,15.6,13.4,13.4,.9,1.3,2.8,-{비}-0030. {비}0235-{비}{강도0}0300-0455. {안개비}0555-{안개비}{강도0}0600-{비}0810-{비}{강도0}0900-{안개비}1020-{비}1045-{비}{강도0}1200-{안개비}1435-{안개비}{강도0}1500-1655. {박무}0605-0735. {박무}1025-{박무}{강도0}1200-1205. {박무}1350-1445. {박무}1510-1605.,
108,서울,2021-05-18,17.9,13.6,403,24.5,1611,,,,,,,7.3,250,1659,4.5,270,1702,1.7,1509,270,11.8,45,2002,70.5,14.1,1000.5,1012.1,817,1008.7,1620,1010.5,14.3,8.4,1100,3.74,24.12,,,,,,4.4,1.9,20.2,9.2,20.3,19.4,18.7,18.5,18.3,17.2,15.9,13.6,13.4,4.4,6.3,,{박무}0005-0035. {박무}0350-0450. {박무}0605-0750.,
